project_main_language,pr_url,pr_source_commit,pr_target_commit,pr_change_line_count,pr_category,is_ai_comment,note,path,side,source_model,from_line,to_line,category,context,label
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Optimization suggestion: `getDirsFromFront(t)` is currently called for every view in the loop. If multiple views share the same `ProjDirection` `t`, this results in redundant calculations. 

Consider checking if `t` is already in `saveVals` before calling `getDirsFromFront`.
",src/Mod/TechDraw/App/DrawProjGroup.cpp,right,Gemini-3-Pro,1123,1126,Performance,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"The commented-out code block should be removed entirely rather than left as a TODO comment. Dead code in comments can cause confusion and should be cleaned up.
",src/Mod/TechDraw/App/DrawProjGroup.cpp,right,Claude-Code/Claude-4.5-Sonnet,1127,1132,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,False,Unresolved TODO comment left in code regarding potential refactoring of identical functions to DrawView.,src/Mod/TechDraw/App/DrawProjGroup.cpp,right,,1153,1144,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Potential C++ standard violation: The forward declarations specify the underlying type as `: int`, but the actual enum definitions in DrawViewPart.h do not specify an underlying type. According to C++ rules, forward declarations must match the definition exactly. Either remove `: int` from these forward declarations in DrawProjGroup.h, or add `: int` to the enum definitions in DrawViewPart.h.",src/Mod/TechDraw/App/DrawProjGroup.h,right,GLM-4.7,46,48,Code Defect,Repo Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,Enums should typically be passed by value (they are small integral types). Passing by `const&` adds indirection and can complicate usage; also keep naming consistent (`rotationdirection` vs type `RotationMotion`).,src/Mod/TechDraw/App/DrawProjGroup.h,right,GPT-5.2,133,134,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,False,Commented-out type alias `ProjDirection` should be removed as it creates unnecessary code clutter and provides no functional value.,src/Mod/TechDraw/App/DrawViewPart.cpp,right,,96,96,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Using separate if statements instead of else-if may evaluate both conditions unnecessarily. Consider using else if to ensure mutual exclusivity.
",src/Mod/TechDraw/App/DrawViewPart.cpp,right,Qwen-Coder-480B,1300,1303,Performance,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Commenting out the error handling branch removes fallback behavior for unknown projection types. Verify this is intentional.
",src/Mod/TechDraw/App/DrawViewPart.cpp,right,Qwen-Coder-480B,1385,1393,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Directly casting an integer preference value to ArrowType without bounds/validation risks creating invalid enum states. Consider validating input against known ArrowType limits.
",src/Mod/TechDraw/App/Preferences.cpp,right,Qwen-Coder-480B,180,181,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Typo in variable name: 'acceptableDimensionGeometrys' should be 'acceptableDimensionGeometries'.
",src/Mod/TechDraw/Gui/CommandCreateDims.cpp,right,Gemini-3-Pro,2383,2383,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Potential typo: Should return DimensionGeometry::isVertical instead of isHorizontal
",src/Mod/TechDraw/Gui/DimensionValidators.cpp,right,Qwen-Coder-480B,391,392,Code Defect,Diff Level,1
